,price,bedroom,bathroom,sqm,developer,built_year,district,luxuary,public,BRT_distance,BTS_distance,MRT_distance,APL_distance,feature
2049,36050000,2,2,125,Raimon Land - ไรมอน แลนด์ จำกัด (มหาชน),2022,Bang Rak,2,0,no,210,no,no,"['pool', 'sauna', 'security', 'Jacuzzi', 'fitness']"
2050,16307180,2,2,63,Ananda Development - อนันดา ดีเวลลอปเม้นท์ จํากัด (มหาชน),2018,Bang Rak,0,0,no,440,160,no,"['pool', 'security', 'car park', 'fitness']"
2051,8990000,1,1,49,Ananda Development - อนันดา ดีเวลลอปเม้นท์ จํากัด (มหาชน),2016,Bang Rak,2,2,no,480,no,no,"['pool', 'sauna', 'Library', 'security', 'Lounge', 'Jacuzzi', 'car park', 'fitness']"
2052,8900000,1,1,35,Ananda Development - อนันดา ดีเวลลอปเม้นท์ จํากัด (มหาชน),2016,Bang Rak,2,2,no,480,no,no,"['pool', 'sauna', 'Library', 'security', 'Lounge', 'Jacuzzi', 'car park', 'fitness']"
2053,5800000,1,1,33,Pruksa Real Estate - พฤกษา เรียลเอสเตท จำกัด (มหาชน),2013,Bang Rak,0,0,no,380,no,no,"['pool', 'security', 'fitness']"
2054,23750000,2,2,84,Raimon Land - ไรมอน แลนด์ จำกัด (มหาชน),2022,Bang Rak,2,0,no,210,no,no,"['pool', 'sauna', 'security', 'Jacuzzi', 'fitness']"
2055,48964135,2,2,141,Pace Development - เพซ ดีเวลลอปเมนท์ คอร์ปอเรชั่น จำกัด (มหาชน),2016,Bang Rak,0,0,no,210,no,no,"['pool', 'security', 'car park', 'fitness']"
2056,15500000,2,1,57,Ananda Development - อนันดา ดีเวลลอปเม้นท์ จํากัด (มหาชน),2018,Bang Rak,0,0,no,440,160,no,"['pool', 'security', 'car park', 'fitness']"
2057,13909646,1,1,54,Raimon Land - ไรมอน แลนด์ จำกัด (มหาชน),2020,Bang Rak,4,1,no,440,no,no,"['pool', 'Sky Lounge', 'sauna', 'security', 'Jacuzzi', 'fitness', 'Playground']"
2058,14409700,1,1,57,SC Asset - เอสซี แอสเสท คอร์ปอเรชั่น จำกัด (มหาชน),2018,Bang Rak,1,0,no,no,540,no,"['pool', 'sauna', 'security', 'car park', 'fitness']"
2059,10360000,1,1,49,Ananda Development - อนันดา ดีเวลลอปเม้นท์ จํากัด (มหาชน),2016,Bang Rak,2,2,no,480,no,no,"['pool', 'sauna', 'Library', 'security', 'Lounge', 'Jacuzzi', 'car park', 'fitness']"
2060,7520000,1,1,32,Ananda Development - อนันดา ดีเวลลอปเม้นท์ จํากัด (มหาชน),2016,Bang Rak,2,2,no,480,no,no,"['pool', 'sauna', 'Library', 'security', 'Lounge', 'Jacuzzi', 'car park', 'fitness']"
2061,6200000,1,1,29,Ananda Development - อนันดา ดีเวลลอปเม้นท์ จํากัด (มหาชน),2016,Bang Rak,1,1,no,960,410,no,"['pool', 'Mini-Mart', 'sauna', 'security', 'car park', 'fitness']"
2062,9338000,1,1,35,Ananda Development - อนันดา ดีเวลลอปเม้นท์ จํากัด (มหาชน),2016,Bang Rak,2,2,no,480,no,no,"['pool', 'sauna', 'Library', 'security', 'Lounge', 'Jacuzzi', 'car park', 'fitness']"
2063,13000000,2,2,68,no,2016,Bang Rak,0,0,no,100,no,no,"['pool', 'security', 'car park', 'fitness']"
2064,8755000,1,1,33,Ananda Development - อนันดา ดีเวลลอปเม้นท์ จํากัด (มหาชน),2016,Bang Rak,2,2,no,480,no,no,"['pool', 'sauna', 'Library', 'security', 'Lounge', 'Jacuzzi', 'car park', 'fitness']"
2065,7500000,1,1,54,no,2011,Bang Rak,1,0,no,330,no,no,"['pool', 'security', 'Jacuzzi', 'fitness']"
2066,14900000,1,1,57,SC Asset - เอสซี แอสเสท คอร์ปอเรชั่น จำกัด (มหาชน),2018,Bang Rak,1,0,no,no,540,no,"['pool', 'sauna', 'security', 'car park', 'fitness']"
2067,44500000,2,2,115,SC Asset - เอสซี แอสเสท คอร์ปอเรชั่น จำกัด (มหาชน),2018,Bang Rak,1,0,no,no,540,no,"['pool', 'sauna', 'security', 'car park', 'fitness']"
2068,9500000,2,2,67,Pruksa Real Estate - พฤกษา เรียลเอสเตท จำกัด (มหาชน),2010,Bang Rak,0,0,no,310,no,no,"['pool', 'security', 'fitness']"
2069,6800000,1,1,34,Ananda Development - อนันดา ดีเวลลอปเม้นท์ จํากัด (มหาชน),2018,Bang Rak,0,0,no,440,160,no,"['pool', 'security', 'car park', 'fitness']"
2070,5500000,0,1,34,no,2014,Bang Rak,0,0,no,180,310,no,['nan']
2071,13714450,1,1,49,Ananda Development - อนันดา ดีเวลลอปเม้นท์ จํากัด (มหาชน),2016,Bang Rak,2,2,no,480,no,no,"['pool', 'sauna', 'Library', 'security', 'Lounge', 'Jacuzzi', 'car park', 'fitness']"
2072,9090000,1,1,49,Ananda Development - อนันดา ดีเวลลอปเม้นท์ จํากัด (มหาชน),2016,Bang Rak,2,2,no,480,no,no,"['pool', 'sauna', 'Library', 'security', 'Lounge', 'Jacuzzi', 'car park', 'fitness']"
2073,10290000,1,1,49,Ananda Development - อนันดา ดีเวลลอปเม้นท์ จํากัด (มหาชน),2016,Bang Rak,2,2,no,480,no,no,"['pool', 'sauna', 'Library', 'security', 'Lounge', 'Jacuzzi', 'car park', 'fitness']"
2074,8700000,1,1,46,AP Thailand - เอพี (ไทยแลนด์) จำกัด (มหาชน),2013,Bang Rak,0,0,no,270,no,no,"['pool', 'security', 'fitness']"
2075,8570000,2,2,64.74,no,2016,Bang Rak,1,0,no,640,300,no,"['pool', 'sauna', 'security', 'car park', 'fitness']"
2076,11900000,2,2,143,no,2014,Bang Rak,0,0,no,220,no,no,"['Broadband Internet', 'security', 'car park', 'view', 'Air-Conditioning']"
