,price
2379,18710000
7424,3100000
1528,9560000
6338,15700000
6590,5700000
589,5900000
5297,8300000
6225,9900000
74,4500000
903,16500000
316,5300000
3986,12900000
288,9170000
4579,5950000
4839,1180000
570,14820000
2058,14409700
6714,6280000
1639,24000000
2770,3810000
1214,3150000
1758,50547768
760,8800000
297,5500000
3726,37900000
562,5000000
5475,8343000
2365,3300000
1089,4840000
4650,4700000
1100,2500000
4495,2090000
5632,11500000
2460,35220000
3631,60750000
5409,3880000
60,22000000
1671,12000000
7678,10484000
1246,4622000
5867,20900000
5393,10500000
7548,2490000
6884,7200000
2609,88701025
3658,24500000
557,5900000
6069,19900000
6810,17000000
4891,4600000
4538,4450000
7713,7450000
606,2699000
4990,6270000
197,11000000
1321,4350000
173,9390000
5242,3499000
4527,3300000
5802,7200000
3079,3697700
2756,31500000
976,10900000
2943,3210000
1066,14000000
5809,21500000
1230,3080000
1630,15699000
2786,1390000
1716,13000000
5118,2399000
7295,19900000
1490,8950000
5568,13400000
6740,16000000
5117,3000000
6998,26500000
4927,1490000
4777,2200000
5781,2100000
1297,4800000
5826,12100000
427,8800000
6226,9500000
3262,3475976
6572,3100000
1034,13500000
1220,3290000
1870,35000000
6312,16000
6787,8390000
3549,13900000
5869,4480000
612,10800000
623,18300000
1905,39700000
860,5300000
2063,13000000
3383,51000000
7013,9570000
1224,7900000
2040,13500000
4979,149000
225,6650000
6811,4850000
1118,11300000
5902,14000000
1772,26000000
4727,3900000
3593,41400000
2138,63000000
7028,9000000
822,8299000
312,6100000
3183,1700000
452,6600000
753,4500000
6839,6000000
3747,38500000
3429,8750000
5884,20600000
1077,10415000
4221,14220000
1136,2600000
2920,4500000
6975,54000000
2435,12800000
776,4680000
1752,16350000
4530,6100000
6771,11700000
3541,9159005
6520,28840000
3465,7600000
5838,35500000
7497,5500000
4661,2200000
7553,3935000
2240,4800000
3540,109000000
4245,11330000
1683,21000000
1718,11900000
1277,4284000
1677,35000000
365,18900000
4509,5350000
551,13200000
4660,2490000
7187,6600000
5616,7000000
1147,2300000
1855,9190000
3460,33000000
